ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:  370000         0.0000         0.0000         0.0000         0.0000          -5608.3628       437.8650         0.0000         0.0000       947.6375          -4222.8603       301.0561     -5170.4978     -4220.9320       296.4431            462.0485       491.9851     22742.1201      -155.3781      -155.1857
ENERGY:  375000         0.0000         0.0000         0.0000         0.0000          -5529.3695       370.1832         0.0000         0.0000       947.7706          -4211.4156       301.0984     -5159.1862     -4208.6466       301.9080           -494.6863      -476.0756     22757.8848      -222.0910      -222.1440
ENERGY:  380000         0.0000         0.0000         0.0000         0.0000          -5596.9789       378.1986         0.0000         0.0000       955.2324          -4263.5479       303.4690     -5218.7803     -4261.1030       301.3615           -295.4766      -273.5158     22673.6841      -257.0716      -257.0763
ENERGY:  385000         0.0000         0.0000         0.0000         0.0000          -5690.8597       456.8767         0.0000         0.0000       938.7576          -4295.2254       298.2350     -5233.9830     -4293.2252       297.2335            359.1859       377.0284     22653.7921      -168.5635      -168.5023
ENERGY:  390000         0.0000         0.0000         0.0000         0.0000          -5739.5120       416.3871         0.0000         0.0000       955.0732          -4368.0517       303.4184     -5323.1249     -4365.9132       296.5679            -47.2158       -39.7658     22430.4211      -136.3158      -136.2335
ENERGY:  395000         0.0000         0.0000         0.0000         0.0000          -5608.7011       427.1379         0.0000         0.0000       907.2781          -4274.2851       288.2343     -5181.5633     -4271.4113       294.3003            455.3720       466.2830     22479.9553      -238.6835      -238.8022
ENERGY:  400000         0.0000         0.0000         0.0000         0.0000          -5678.6558       397.2876         0.0000         0.0000       932.9578          -4348.4104       296.3925     -5281.3682     -4345.7900       300.7471           -384.2168      -362.1794     22559.7717      -184.3750      -184.4056
ENERGY:  405000         0.0000         0.0000         0.0000         0.0000          -5612.3198       391.1513         0.0000         0.0000       949.5485          -4271.6200       301.6632     -5221.1685     -4269.2893       297.3716             -1.7186        12.5276     22428.6499      -198.0422      -197.8583
ENERGY:  410000         0.0000         0.0000         0.0000         0.0000          -5604.9710       400.6464         0.0000         0.0000       929.7347          -4274.5899       295.3685     -5204.3246     -4272.6700       299.5478           -331.2842      -325.5929     22454.5154      -184.7574      -184.7740
ENERGY:  415000         0.0000         0.0000         0.0000         0.0000          -5610.3714       416.6902         0.0000         0.0000       908.6296          -4285.0516       288.6636     -5193.6812     -4282.1648       297.1807            -81.6260       -58.9947     22786.9684      -229.0884      -229.0160
ENERGY:  420000         0.0000         0.0000         0.0000         0.0000          -5573.7095       378.6624         0.0000         0.0000       944.5860          -4250.4610       300.0867     -5195.0470     -4247.3925       299.3981           -505.8977      -492.3270     22786.2222      -230.2599      -230.2861
ENERGY:  425000         0.0000         0.0000         0.0000         0.0000          -5607.1796       413.1290         0.0000         0.0000       912.9879          -4281.0627       290.0482     -5194.0506     -4279.8030       300.1180             46.2821        68.8622     22763.6002      -236.4399      -236.5061
ENERGY:  430000         0.0000         0.0000         0.0000         0.0000          -5544.2206       361.3743         0.0000         0.0000       950.1043          -4232.7420       301.8398     -5182.8463     -4231.5408       297.5618           -183.4873      -170.3244     22483.2125      -213.2405      -213.2829
