1 -0.5
2 -1.5
3 -2.5
4 -2.5
5 -5.0
6 -6.0
7 -4.0
8 -6.0
9 -5.5
10 -8.5
11 -5.5
12 -7.0
13 -7.0
14 -6.0
15 -7.5
16 -7.5
17 -8.0
18 -10.0
19 -10.0
20 -8.0
21 -10.0
22 -11.0
23 -13.5
24 -12.5
25 -17.0
26 -19.0
27 -18.5
28 -16.0
29 -17.5
30 -17.5
31 -17.0
32 -18.5
33 -20.5
34 -20.5
35 -17.5
36 -16.0
37 -17.0
38 -21.5
39 -19.5
40 -20.5
41 -18.5
42 -21.0
43 -19.0
44 -20.5
45 -21.0
46 -21.0
47 -18.0
48 -19.0
49 -21.0
50 -24.5
51 -25.0
52 -23.0
53 -23.5
54 -23.0
55 -25.0
56 -28.0
57 -28.0
58 -27.0
59 -29.0
60 -31.5
61 -31.0
62 -32.0
63 -30.5
64 -32.0
65 -32.5
66 -33.0
67 -32.0
68 -34.5
69 -38.0
70 -36.5
71 -35.0
72 -37.0
73 -33.5
74 -36.0
75 -35.5
76 -36.0
77 -38.5
78 -38.0
79 -37.0
80 -41.0
81 -41.0
82 -40.0
83 -41.0
84 -38.0
85 -38.0
86 -35.0
87 -37.0
88 -36.0
89 -38.0
90 -38.5
91 -41.0
92 -40.0
93 -42.0
94 -45.0
95 -47.5
96 -45.0
97 -46.0
98 -45.5
99 -45.0
