1 -3.0
2 -7.0
3 -9.0
4 -13.5
5 -17.0
6 -18.0
7 -22.0
8 -25.5
9 -26.0
10 -26.5
11 -27.5
12 -31.5
13 -36.5
14 -39.5
15 -43.0
16 -45.5
17 -49.5
18 -48.0
19 -48.5
20 -51.0
21 -51.5
22 -51.5
23 -53.0
24 -56.5
25 -57.5
26 -60.0
27 -61.0
28 -65.0
29 -62.0
30 -67.0
31 -66.5
32 -70.5
33 -72.5
34 -75.5
35 -77.5
36 -81.0
37 -83.0
38 -85.5
39 -87.0
40 -90.0
41 -90.5
42 -94.5
43 -95.5
44 -98.0
45 -102.0
46 -105.5
47 -108.0
48 -109.0
49 -110.5
50 -114.0
51 -117.0
52 -119.0
53 -117.0
54 -119.0
55 -118.5
56 -123.0
57 -124.5
58 -127.5
59 -129.5
