# time(ps) Nwater Force (pN) Pressure Dif (atm) 
10 156 1084.0908 2335.935494760475
20 161 1118.8373 2410.8052221566445
30 156 1084.0908 2335.935494760475
40 155 1077.1415 2320.961549281242
50 150 1042.395 2246.091821885073
60 155 1077.1415 2320.961549281242
70 153 1063.2429 2291.013658322774
80 157 1091.0401 2350.909440239709
90 156 1084.0908 2335.935494760475
100 159 1104.9387 2380.857331198177
110 159 1104.9387 2380.857331198177
120 158 1097.9894 2365.8833857189434
130 152 1056.2936 2276.03971284354
140 160 1111.888 2395.8312766774106
150 155 1077.1415 2320.961549281242
160 154 1070.1922 2305.987603802008
170 157 1091.0401 2350.909440239709
180 163 1132.7359 2440.7531131151122
190 156 1084.0908 2335.935494760475
200 158 1097.9894 2365.8833857189434
210 169 1174.4317 2530.5967859905154
220 155 1077.1415 2320.961549281242
230 157 1091.0401 2350.909440239709
240 159 1104.9387 2380.857331198177
250 160 1111.888 2395.8312766774106
260 152 1056.2936 2276.03971284354
270 159 1104.9387 2380.857331198177
280 164 1139.6852 2455.7270585943456
290 154 1070.1922 2305.987603802008
300 152 1056.2936 2276.03971284354
310 152 1056.2936 2276.03971284354
320 159 1104.9387 2380.857331198177
330 152 1056.2936 2276.03971284354
340 155 1077.1415 2320.961549281242
350 159 1104.9387 2380.857331198177
360 161 1118.8373 2410.8052221566445
370 163 1132.7359 2440.7531131151122
380 157 1091.0401 2350.909440239709
390 158 1097.9894 2365.8833857189434
400 156 1084.0908 2335.935494760475
410 160 1111.888 2395.8312766774106
420 155 1077.1415 2320.961549281242
430 160 1111.888 2395.8312766774106
440 157 1091.0401 2350.909440239709
450 156 1084.0908 2335.935494760475
460 172 1195.2796 2575.518622428217
470 159 1104.9387 2380.857331198177
480 155 1077.1415 2320.961549281242
490 161 1118.8373 2410.8052221566445
500 153 1063.2429 2291.013658322774
510 158 1097.9894 2365.8833857189434
520 157 1091.0401 2350.909440239709
530 170 1181.381 2545.5707314697493
540 154 1070.1922 2305.987603802008
550 162 1125.7866 2425.7791676358784
560 159 1104.9387 2380.857331198177
570 154 1070.1922 2305.987603802008
580 162 1125.7866 2425.7791676358784
590 161 1118.8373 2410.8052221566445
600 159 1104.9387 2380.857331198177
